Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel
2019,Mercedes-Benz,Mercedes-Benz,E 450 4MATIC (coupe),MBX,135,23.9,37.3,28.5088,19.0003,26.3879,21.739
2019,Mercedes-Benz,Mercedes-Benz,S 560 (convertible),MBX,324,21.3,36.6,26.2352,17.0777,25.9337,20.1785
2019,BMW,Mini,COOPER HARDTOP 2 DOOR,BMX,32,34.9132,50.5131,40.5483,26.7959,34.7005,29.8564
2019,BMW,Mini,COOPER HARDTOP 2 DOOR,BMX,33,36.3,55.7,43.0468,27.7395,37.8335,31.5243
2019,BMW,Mini,COOPER HARDTOP 4 DOOR,BMX,34,34.9132,50.5131,40.5483,26.7959,34.7005,29.8564
2019,BMW,Mini,COOPER HARDTOP 4 DOOR,BMX,35,36.4397,54.7923,42.9069,27.8341,37.2904,31.4195
2019,BMW,Mini,COOPER S HARDTOP 2 DOOR,BMX,54,32.8547,46.784,37.9376,25.3801,32.4037,28.1232
2019,BMW,Mini,COOPER S HARDTOP 2 DOOR,BMX,55,29.2163,46.451,35.072,22.8319,32.1967,26.2704
2019,BMW,Mini,COOPER S HARDTOP 4 DOOR,BMX,56,32.8547,46.784,37.9376,25.3801,32.4037,28.1232
2019,BMW,Mini,COOPER S HARDTOP 4 DOOR,BMX,57,29.2163,46.451,35.072,22.8319,32.1967,26.2704
2019,BMW,Mini,JOHN COOPER WORKS HARDTOP,BMX,84,32.8547,46.784,37.9376,25.3801,32.4037,28.1232
2019,BMW,Mini,JOHN COOPER WORKS HARDTOP,BMX,85,29.2163,46.451,35.072,22.8319,32.1967,26.2704
2019,Roush,"Roush Industries, Inc.",Roush Stage 3 Mustang,RII,1,15.5,26.1,18.9662,12.8383,19.9124,15.2813
2019,Volkswagen Group of,Volkswagen,Beetle Convertible,VGA,8,32.3057,48.6161,38.0502,26.0181,32.9587,28.7418
2019,Honda,Acura,ILX,HNX,40,31.2,49.9,37.5287,24.2285,34.3255,27.9249
2019,Honda,Acura,TLX AWD,HNX,12,25.2222,42.0056,30.7512,19.9656,29.4046,23.3366
2019,Honda,Acura,TLX AWD A-SPEC,HNX,13,24.6996,40.8998,30.057,19.585,28.7014,22.8512
2019,Honda,Acura,TLX FWD,HNX,8,30.0499,47.9998,36.1299,23.421,33.1567,26.9868
2019,Honda,Acura,TLX FWD,HNX,10,25.0282,44.7391,31.2173,19.8245,31.128,23.6967
2019,Honda,Acura,TLX FWD A-SPEC,HNX,9,29.5499,45.9495,35.2039,23.068,31.8845,26.3463
2019,Honda,Acura,TLX FWD A-SPEC,HNX,11,24.8,43.2,30.6804,19.6583,30.1602,23.3109
